label,class,name
1,static,OK
2,static,Yeah
3,static,Six
4,static,Nice
5,static,NO
6,static,Come
7,static,Pinch
8,dynamic,Raise Hand
9,dynamic,Release Hand
10,dynamic,Wave Hand
